Family	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	212	1	0	0	0	0	2	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	4	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae	3	7	1	5	2	4	7	6	16	3	4	4	5	3	6	4	5	3	4	8	6	13	5	8	51	4	0	2	0	3	1	6	3	5	15	2	4	6	4	6	3	5445	500	5	9	15	8	5	423	1563	886
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	1	0	2	0	0	451	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	72	85	34	58	12	78	89	131	197	81	89	54	58	35	9	76	636	208	750	64	79	90	17	21	232	779	686	105	505	87	120	47	190	17	437	10	9	5	11	20	14	5201	5324	8	147	40	81	106	4589	3624	10662
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	10	16	64	217	827	1211	279	113	233	53	109	1041	166	126	58	2316	312	48	1387	32	282	991	7	94	705	7	53	1616	13	965	93	417	540	18	1648	3909	1995	894	487	1602	589	3	5	12	64	44	26	176	8	1291	5
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	3	0	4	2	67	1133	4	631	190	1	1	3	1	1	27	38	70	7	84	1167	13	7	1	2	8	0	0	12	1	7	6	0	0	2	3	0	2	0	0	0	2	0	0	4	4	5	0	0	2	2	2
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	13	31	23	4	21	13	12	8	7	5	6	24	1	1	0	8	4	10	5	3	9	11	7	7	8	0	2	3	10	6	4	2	7	25	6	21	13	1	10	20	8	807	2	25	6	18	157	13	2388	1555	1603
Bacteria;Firmicutes;Clostridia;Clostridiales;?	5	6	2	1	5	5	57	13	90	5	3	56	1	0	4	4	2	71	3	2	3	3	7	3	4	1	1	2	4	15	0	21	7	10	3	0	10	6	8	1	10	0	0	14	1	4	9	5	18	53	0
