Genus	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Cloacibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	512	0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Weeksella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia	0	29	12	0	2	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	3	59	43	13	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;?;?	55	0	277	728	41	2	25	26	3	7	5	171	1	11	8	28	10	11	12	0	2	83	55	7	0	9	0	3	28	3	64	31	57	37	32	1	2	3	0	0	53	0	0	61	3	934	6	741	4	1	0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;?;?	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	1	0	0	0	0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum	7	15	9	0	9	5	10	6	3	13	6	48	5	2	10	2	2	6	0	25	3	6	3	9	3	1	17	10	24	2	7	14	4	27	14	20	46	680	110	235	471	0	0	41	2	4	11	0	2	2	2
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0	0	1	2	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	712	0	0	0	1	0	1	0	0	0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	600	16	570	404	37	2	2	4	0	1	0	1434	4	4	0	0	2	0	2	3	3	3	206	0	2	1	1	3	0	0	1	1	4	291	0	1	3	1	0	2	5	2	2	394	449	186	105	558	7	0	5
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Salsuginibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	4	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	286
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	3	7	1	5	2	4	7	6	16	3	4	4	5	3	6	4	5	3	4	6	5	12	5	8	51	4	0	2	0	3	1	6	3	5	15	2	4	6	4	5	3	5445	500	5	9	13	8	5	423	1563	600
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1	0	2	0	0	451	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	72	85	34	58	12	78	89	131	197	81	89	54	58	35	9	76	636	208	750	64	79	90	17	21	232	779	686	105	505	87	120	47	190	17	437	10	9	5	11	20	14	5201	5324	8	147	40	81	106	4589	3624	10662
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	10	16	64	217	827	1211	279	113	233	53	109	1041	166	126	58	2316	312	48	1387	32	282	991	7	94	705	7	53	1616	13	965	93	417	540	18	1648	3909	1995	894	487	1602	589	3	5	12	64	44	26	176	8	1291	5
